T,P_plus,P_minus,e_plus,e_minus,w_plus,w_minus,s_plus,s_minus
59.5210243514823,204604983.974832,220798025.552131,369016685.382696,329579468.441289,573621669.357528,550377493.99342,9637294.98360923,9246774.56762644
59.7055558042267,206391811.408173,222512579.854262,374477764.411288,334905032.286267,580869575.819461,557417612.140529,9728903.2519903,9336109.59085576
59.8900872569711,208195596.718098,224243673.561788,379990300.148436,340282326.038688,588185896.866534,564525999.600476,9821089.33659901,9426034.01632077
60.0746187097154,210016446.840842,225991415.67612,385554612.090198,345711674.330974,595571058.93104,571703090.007094,9913855.00090005,9516549.62595793
60.2591501624598,211854468.720044,227755915.519889,391171019.744854,351193402.758243,603025488.464898,578949318.278132,10007202.0081913,9607658.20168849
60.4436816152042,213709769.693522,229537282.521262,396839844.084048,356727837.233345,610549613.777571,586265119.754607,10101132.1267022,9699361.52545146
60.6282130679486,215582457.772238,231335626.715402,402561408.578457,362315305.496917,618143866.350695,593650932.21232,10195647.1330834,9791661.37929317
60.812744520693,217472641.032989,233151058.361965,408336036.943168,367956135.965579,625808677.976157,601107194.327544,10290748.8048095,9884559.5452996
60.9972759734374,219380427.659847,234983687.890441,414164053.455804,373650657.558384,633544481.115651,608634345.448825,10386438.9232312,9978057.80544497
61.1818074261818,221305926.564497,236833626.351631,420045786.209495,379399201.032351,641351712.773992,616232827.383982,10482719.2959936,10072157.9412935
61.3663388789262,223249246.960862,238700984.939756,425981564.882272,385202097.568981,649230811.843134,623903082.508737,10579591.7416633,10166861.7343181
61.5508703316705,225210498.072906,240585875.107522,431971719.202343,391059679.165491,657182217.275249,631645554.273013,10677058.0791406,10262170.9666275
61.7354017844149,227189789.586857,242488408.899753,438016581.195336,396972279.68768,665206370.782193,639460688.587433,10775120.1425273,10358087.4217871
61.9199332371593,229187231.862238,244408698.450604,444116486.233137,402940233.278248,673303718.095375,647348931.728853,10873779.7880667,10454612.8835029
62.1044646899037,231202935.311721,246346856.250369,450271769.951765,408963874.940362,681474705.263485,655310731.190731,10973038.8737497,10551749.1321968
62.2889961426481,233237010.481119,248302995.314374,456482767.731107,415043540.945727,689719778.212226,663346536.2601,11072899.2469017,10649497.9434491
62.4735275953925,235289568.666941,250277228.721459,462749813.506898,421179567.777753,698039382.173839,671456796.499211,11173362.6947114,10747861.0931742
62.6580590481369,237360721.428556,252269670.011586,469073240.709191,427372294.29161,706433962.137746,679641964.303196,11274430.9833103,10846840.3728967
